"year","INEGI","ENTIDAD","POB","TOTAL","TASA_TOTAL"
2013,30,"VERACRUZ",8055384,863,10.7
2013,31,"YUCATAN",2071527,40,1.9
2013,32,"ZACATECAS",1566677,167,10.7
2014,1,"AGUASCALIENTES",1305273,42,3.2
2014,2,"BAJA CALIFORNIA",3326218,714,21.5
2014,3,"BAJA CALIFORNIA SUR",702923,70,10
2014,4,"CAMPECHE",900589,65,7.2
2014,7,"CHIAPAS",5220622,409,7.8
2014,8,"CHIHUAHUA",3590344,1086,30.2
2014,9,"CIUDAD DE MEXICO",9062022,749,8.3
2014,5,"COAHUILA",2960145,390,13.2
2014,6,"COLIMA",708738,99,14
2014,10,"DURANGO",1758160,315,17.9
2014,11,"GUANAJUATO",5857977,709,12.1
2014,12,"GUERRERO",3551765,1514,42.6
2014,13,"HIDALGO",2859239,141,4.9
2014,14,"JALISCO",7870823,907,11.5
2014,15,"MEXICO",16248083,1994,12.3
2014,16,"MICHOACAN",4601241,904,19.6
2014,17,"MORELOS",1905274,416,21.8
2014,18,"NAYARIT",1176131,110,9.4
2014,19,"NUEVO LEON",5108816,490,9.6
2014,20,"OAXACA",3990077,640,16
2014,21,"PUEBLA",6198759,338,5.5
2014,22,"QUERETARO",2023820,103,5.1
2014,23,"QUINTANA ROO",1485510,172,11.6
2014,24,"SAN LUIS POTOSI",2733855,229,8.4
2014,25,"SINALOA",2976480,846,28.4
2014,26,"SONORA",2847816,568,19.9
2014,27,"TABASCO",2393656,168,7
2014,28,"TAMAULIPAS",3461851,628,18.1
2014,29,"TLAXCALA",1273768,61,4.8
2014,30,"VERACRUZ",8150881,487,6
2014,31,"YUCATAN",2100817,42,2
